	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
286	みぎて	right hand	わたし は <b>みぎて</b> で じ を かきます	I write right-handed.	0	0
287	ひだりて	left hand	かのじょ は <b>ひだりて</b> で じ を かく	She writes left-handed.	0	0
288	へた	not good at	わたし は うた が <b>へた</b> だ	I'm a terrible singer.	0	0
289	これら	these	きょう は <b>これら</b> の もんだい に ついて はなしあいます	We will discuss these issues today.	0	0
290	たりる	suffice, serve, be satisfied	おかね が <b>たりなくて</b> かえなかった	I couldn't buy it because I didn't have enough money.	0	0
291	たす	add, supplement	はは は みそしる に みず を <b>たした</b>	My mother added water to the miso soup.	0	0
292	やま	mountain	<b>やま</b> の くうき は きれい だ	The mountain air is clean.	0	0
293	いずれ	eventually, sometime	<b>いずれ</b> また おあい しましょう	Let's meet again sometime.	0	0
294	いい	good	かのじょ は <b>いい</b> ともだち です	She's a good friend.	0	0
295	よい	good, suitable, preferable	かれ は <b>よい</b> ところ だけ を きょうちょう した	He only emphasized the strong points.	0	0
296	からて	karate, empty hand	かれ は <b>からて</b> を ならって います	He's learning karate.	0	0
297	かいがい	overseas, abroad	かれ は <b>かいがい</b> で の せいかつ が ながい です	He's lived abroad for a long time.	0	0
298	うみ	sea, ocean	<b>うみ</b> は ひろく て おおきい	The sea is vast and wide.	0	0
299	まいにち	every day	わたしたち は <b>まいにち</b> さんぽ を します	We go for a walk every day.	0	0
300	まいとし	every year	わたし は <b>まいとし</b> かいがい りょこう に いきます	I travel abroad every year.	0	0
301	まいねん	every year	<b>まいねん</b> きゅうりょう が あがる	My salary goes up every year.	0	0
302	なお	still, in addition	<b>なお</b> あめ の ばあい は ちゅうし です	Moreover, it will be canceled in the event of rain.	0	0
303	まいしゅう	every week	わたし は <b>まいしゅう</b> はは に でんわ を します	I call my mother every week.	0	0
304	まいつき	every month	わたし は <b>まいつき</b> ちょきん を して います	I save money every month.	0	0
305	たんぼ	rice field	このへん は <b>たんぼ</b> が たくさん あります	There are a lot of rice fields around here.	0	0
306	ほぼ	almost, nearly	しごと が <b>ほぼ</b> おわりました	My work is almost finished.	0	0
307	はやし	woods, grove	わたしたち は <b>はやし</b> の なか に はいって いった	We entered the woods.	0	0
308	もり	thick woods, forest	わたし は <b>もり</b> を あるく の が すき です	I like to walk in the forest.	0	0
309	こ	child, kid	その <b>こ</b> は にほんご が わからない	That kid doesn't understand Japanese.	0	0
310	サービス	service, on the house	この みせ は <b>さーびす</b> が いい 。	The service in this store is good.	0	0
311	おんなのこ	girl, daughter	あの <b>おんなのこ</b> を しって います か	Do you know that girl?	0	0
312	おとこのこ	boy, baby boy	<b>おとこのこ</b>たち が さっかー を して いる	The boys are playing soccer.	0	0
313	わたしたち	we	<b>わたしたち</b> は らいげつ けっこん します 。	We will get married next month.	0	0
314	たっする	attain, reach	きおん は さんじゅうごど に <b>たっした</b>	The temperature reached 35 degrees.	0	0
315	グループ	group	みせ に がくせい の <b>ぐるーぷ</b> が きた	A group of students came to the shop.	0	0
316	かない	my wife	<b>かない</b> は きゅうしゅう しゅっしん です	My wife is from Kyushu.	0	0
317	きゃく	visitor, customer	その みせ は わかい <b>きゃく</b> が おおい です	That shop has a lot of young customers.	0	0
318	くうき	air, atmosphere	ここ は <b>くうき</b> が きれい です	The air here is clean.	0	0
319	ホテル	hotel	いま <b>ほてる</b> に つきました	I arrived at the hotel just now.	0	0
320	きにいる	like, be pleased with	あたらしい くつ が とても <b>きにいりました</b>	I really like my new shoes.	0	0
321	にんき	popularity, temperament of the people, business conditions	この ばんど は とても <b>にんき</b> が ある よ	That band is very popular.	0	0
322	まとめる	gather together, put in order	かのじょ は にもつ を <b>まとめて</b> でて いった	She packed her luggage and left.	0	0
323	あおい	blue	ここ の うみ は とても <b>あおい</b>	The sea here is very blue.	0	0
324	あお	blue, green, green light	わたし の すき な いろ は <b>あお</b> です	My favorite color is blue.	0	0
325	はれ	fine weather, clear sky	あす の てんき は <b>はれ</b> です	Tomorrow's weather will be sunny.	0	0
326	あきらか	clear, obvious	<b>あきらか</b> に かれ が わるい	It's clearly his fault.	0	0
327	やはり	as expected, also, still	かれ は <b>やはり</b> ちこく しました	He was late, as expected.	0	0
328	あかるい	bright, cheerful	かのじょ は <b>あかるい</b> せいかく です	She has a cheerful personality.	0	0
329	もつ	have, possess@maintain, last long	わたし は くるま を <b>もって います</b>@この くるま は よく <b>もって いる</b> ね	I have a car.@This car has lasted a long time.	0	0
330	さくねん	last year	<b>さくねん</b> は じしん が おおい とし でした	Last year there were a lot of earthquakes.	0	0
331	はっきり	clearly	きょう は やま が <b>はっきり</b> みえる	You can see the mountains clearly today.	0	0
332	ひがし	east, eastern	<b>ひがし</b> の そら が くらい です	The eastern sky is dark.	0	0
333	にし	west, western	たいよう は <b>にし</b> に しずみます	The sun sets in the west.	0	0
334	つまり	in short, basically	<b>つまり</b> あなた は なに も しらない の です ね	So, basically, you don't know anything.	0	0
335	みなみ	south	わたし の いえ は まち の <b>みなみ</b> に あります	My house is in the south of the town.	0	0
336	きた	north	ろしあ は にっぽん の <b>きた</b> に あります	Russia is north of Japan.	0	0
337	ほうこう	direction, course	あの ひとたち は みな おなじ <b>ほうこう</b> を みて いる	Those people are all looking in the same direction.	0	0
338	むかう	face, confront, head toward	いま かいしゃ に <b>むかって います</b>	I'm heading for the office right now.	0	0
339	ビル	building	わたし の かいしゃ は あの <b>びる</b> の はちかい です	My company's on the eighth floor of that building.	0	0
340	いつか	some time, some day@five days, 5th of the month	ぼく は <b>いつか</b> あふりか に いきたい@ごがつ <b>いつか</b> は しゅくじつ です	I want to go to Africa some time.@May 5th is a holiday.	0	0
341	きこえる	hear, be heard	となり の へや から てれび の おと が <b>きこえる</b>	I can hear the sound of the television from the next room.	0	0
342	もちろん	of course, no doubt	<b>もちろん</b> いっしょ に いきます	Of course I'll go with you.	0	0
343	ねんかん	period of one year	<b>ねんかん</b> ごまんにん が ここ を おとずれます	This place gets 50,000 visitors a year.	0	0
344	このあいだ	the other day, recently	<b>このあいだ</b> かのじょ に あった	I met her the other day.	0	0
345	にんげん	human being, people	<b>にんげん</b> の こころ は ふくざつ です	Man's mind is complex.	0	0
346	かつて	once, formerly	<b>かつて</b> わたし が がくせい だった ころ の こと です	That was when I was still a student.	0	0
347	たかさ	height	ふじさん の <b>たかさ</b> は さんぜんななひゃく-ななじゅうろくめーとる です	The height of Mt. Fuji is 3,776m.	0	0
348	さいだい	biggest, largest	これ は せかい <b>さいだい</b> の ふね です	This is the world's largest ship.	0	0
349	はじめて	for the first time	とうきょう に くる の は <b>はじめて</b> です 。	It's the first time I've been to Tokyo.	0	0
350	さいしょ	first, outset	ごぺーじ の <b>さいしょ</b> を みて ください	Please look at the beginning of page 5.	0	0
351	スポーツ	sport	あなた は なにか <b>すぽーつ</b> を して います か	Which sport do you play?	0	0
352	こんご	after this, in the future	<b>こんご</b> とも よろしく おねがい します	I look forward to working with you in the future.	0	0
353	さいご	last, final	きょう が なつやすみ <b>さいご</b> の ひ だ	Today's the last day of summer vacation.	0	0
354	なぜ	why, for what reason	<b>なぜ</b> こなかった の	Why didn't you come?	0	0
355	あさって	day after tomorrow	<b>あさって</b> は きゅうじつ です 。	The day after tomorrow's a holiday.	0	0
356	うし	cattle, cow	<b>うし</b> が くさ を たべて います	The cow is eating grass.	0	0
357	はんぶん	half	おかし を ともだち に <b>はんぶん</b> あげた	I gave half the sweets to a friend.	0	0
358	そのまま	like that, unchanged	<b>そのまま</b> おまち ください	Please just wait a bit.	0	0
359	はんつき	half a month	<b>はんつき</b>まえ に にほん に きました	I came to Japan half a month ago.	0	0
360	はんにち	half a day	きょう は <b>はんにち</b> だけ しごと だ	I'm working only a half-day today.	0	0
361	まいあさ	every morning	わたし は <b>まいあさ</b> じょぎんぐ を します	I jog every morning.	0	0
362	けさ	this morning	<b>けさ</b> から あたま が いたい	I've had a headache since this morning.	0	0
363	もし	if, in case of	<b>もし</b> あめ が ふったら いきません	I won't go if it rains.	0	0
364	ひるやすみ	noon recess, lunch break	<b>ひるやすみ</b> に こうえん に いった	I went to the park at lunchtime.	0	0
365	ひるまえ	in the morning, before noon	<b>ひるまえ</b> に かいぎ が あった	There was a meeting in the morning.	0	0
366	ひるま	daytime, day	<b>ひるま</b> は しごと で いそがしい です	I'm busy with work in the daytime.	0	0
367	まいばん	every evening	あね は <b>まいばん</b> にっき を かいて います	My older sister writes in her diary every evening.	0	0
